#,Title,VideoID,URL,Animation,SeasonOPED,Song,CHtranslation,Point,Time
1,YOASOBI「アイドル」 Official Music Video,ZRtdQ81jPUQ,https://youtu.be/ZRtdQ81jPUQ,我推的孩子,OP1,アイドル(Idol),偶像,1,
2,One Punch Man - Official Opening - The Hero!! Set Fire to the Furious Fist,atxYe-nOa9w,https://youtu.be/atxYe-nOa9w,一拳超人,OP1,THE HERO!!～怒れる拳に火をつけろ～,THE HERO!!點燃憤怒之拳,1,00:07
3,YOASOBI「怪物」Official Music Video　(YOASOBI - Monster),dy90tA3TT1c,https://youtu.be/dy90tA3TT1c,BEASTARS 動物狂想曲,OP2,かいぶつ(Monster),怪物,2,
4,【MAD】遊戲人生 No Game No Life (This game) 空白永不分開_鈴木このみ(中日歌詞),FghoeusbkUk,https://youtu.be/FghoeusbkUk,遊戲人生,OP,This game,,3,00:30
5,Steins;Gate TV OP Hacking to the Gate AI 4K 中日字幕 (MAD·AMV) (命運石之門 シュタインズ・ゲート) (回憶系列#74),bb8zuHpE9ck,https://youtu.be/bb8zuHpE9ck,命運石之門,OP,Hacking to the Gate,,4,
6,Fullmetal Alchemist Opening 1 Full [Melissa/メリッサ] Lyrics(Kan/Rom/Eng/Esp),9tZAevmOq08,https://youtu.be/9tZAevmOq08,鋼之煉金術師,OP1,メリッサ（Melissa),梅麗莎,4,
7,Fullmetal Alchemist Brotherhood Opening 1 - Again [4K Ultra HD 2160p],aB5YjRcgvgM,https://youtu.be/aB5YjRcgvgM,鋼之煉金術師 Brotherhood,OP1,Again ,,4,
8,"Demon Slayer | OP | ""Gurenge"" by LiSA HD",pmanD_s7G3U,https://youtu.be/pmanD_s7G3U,鬼滅之刃,OP1,ぐれんげ,紅蓮華,1,
9,Attack on Titan Season 2 - Official Opening Song - Shinzou wo Sasageyo by Linked Horizon,CID-sYQNCew,https://youtu.be/CID-sYQNCew,進擊的巨人,OP2,心臓を捧げよ！,獻出你的心臟吧!,1,
10,Tokyo Ghoul Opening | Unravel,7aMOurgDB-o,https://youtu.be/7aMOurgDB-o,東京喰種,OP1,Unravel,揭露,2,
11,『チェンソーマン』ノンクレジットオープニング / CHAINSAW MAN  Opening│米津玄師 「KICK BACK」,dFlDRhvM4L0,https://youtu.be/dFlDRhvM4L0,鏈鋸人,OP1,KICK BACK,回擊,2,
12,Initial D Legend [AMV] - Deja Vu,xbRZE64S3U4,https://youtu.be/xbRZE64S3U4,頭文字D Second Stage,IN,Deja Vu,似曾相識,2,00:39
13,God knows... ''The Melancholy of Haruhi Suzumiya'' 【涼宮ハルヒの憂鬱】Kadokawa公認MAD【ﾍﾞｰｽ 演奏】,WWB01IuMvzA,https://youtu.be/WWB01IuMvzA,涼宮春日的憂鬱,IN,God knows...,,5,
14,Renai Circulation「恋愛サーキュレーション」歌ってみた【＊なみりん】,uKxyLmbOc0Q,https://youtu.be/uKxyLmbOc0Q,化物語,OP4,恋愛サーキュレーション,戀愛循環,2,
15,Naruto Shippuden Opening 16 | Silhouette by KANA-BOON,zVgKnfN9i34,https://youtu.be/zVgKnfN9i34,火影忍者疾風傳,OP16,シルエット,剪影,2,00:29
16,LiSA「crossing field」／「ソードアート・オンライン」第1期1stクール ノンクレジットOP,Y4kfe8R1Iqs,https://youtu.be/Y4kfe8R1Iqs,刀劍神域,OP1,crossing field,穿越田野,2,
17,【AMV】Don't say“lazy”,chX4vzhNSa0,https://youtu.be/chX4vzhNSa0,K-ON！輕音部,ED1,"Don't say ""lazy""",,5,
18,【妖怪ウォッチ】ようかい体操第一,VyKLQXOj0ts,https://youtu.be/VyKLQXOj0ts,妖怪手錶,ED1,ようかい体操第一,妖怪體操第一,1,00:11
19,Noragami Aragoto - Official Opening - Kyouran Hey Kids!!,aZenmeRytEM,https://youtu.be/aZenmeRytEM,野良神/流浪神差,OP2,狂亂 Hey Kids!!,,4,00:40
20,廻廻奇譚 - Eve MV,1tk1pqwrOys,https://youtu.be/1tk1pqwrOys,咒術迴戰,OP1,かいかいきたん,廻廻奇譚,1,
21,【期間限定】「炎炎ノ消防隊」ノンクレジットオープニング映像,ah1zyO3ob_A,https://youtu.be/ah1zyO3ob_A,炎炎消防隊,OP1,インフェルノ(Inferno),地獄,4,
22,YOASOBI「勇者」 Official Music Video／TVアニメ『葬送のフリーレン』オープニングテーマ,OIBODIPC_8Y,https://youtu.be/OIBODIPC_8Y,葬送的芙莉蓮,OP1,ゆうしゃ,勇者,1,
23,DAOKO × 米津玄師『打上花火』MUSIC VIDEO,-tKVN2mAKRI,https://youtu.be/-tKVN2mAKRI,煙花，應該和誰看,MV,うちあげはなび,打上花火,2,00:42
24,「五等分のカタチ」Music Video Full size (歌:中野家の五つ子),Z6D_zJ2gyg0,https://youtu.be/Z6D_zJ2gyg0,五等分的花嫁,OP2,五等分のカタチ,五等分的形狀,4,00:32
25,Naruto Shippuden - Opening 3 (Creditless) (HD - 60 fps),frdz6P8uwv4,https://youtu.be/frdz6P8uwv4,火影忍者疾風傳,OP3,ブルーバード,青鳥,2,
26,Hunter X Hunter 2011 OP departure! 中日字幕 (MAD·AMV) (回憶系列298),WtZ6320L4sw,https://youtu.be/WtZ6320L4sw,Hunter X Hunter 獵人,OP,departure,啟程,2,
27,JoJo's Bizzare Adventure - Golden Wind AMV - Il Vento D'oro,xMDyQbgn9Ao,https://youtu.be/xMDyQbgn9Ao,JoJo的奇妙冒險,IN,il vento d'oro(Golden Wind),黃金之風,2,
28,Imagine Dragons & JID - Enemy (from the series Arcane: League of Legends) | Official Music Video,F5tSoaJ93ac,https://youtu.be/F5tSoaJ93ac,奧術,MV,Enemy,敵人,3,00:46
29,RADWIMPS - Zen Zen Zense/ 前前前世 Lyric AMV - English & Japanese Sub (Kimi no Na wa/ Your Name OST),nWrCkR-h_gs,https://youtu.be/nWrCkR-h_gs,你的名字,MV,ぜんぜんぜんせ,前前前世,2,00:46
30,『僕のヒーローアカデミア』×米津玄師「ピースサイン」スペシャルミュージックビデオ,1oMxrHXzOsY,https://youtu.be/1oMxrHXzOsY,我的英雄學院,OP2,Peace Sign,和平標誌,2,01:00
31,「不可思議のカルテ」Music Video（劇場アニメ「青春ブタ野郎はランドセルガールの夢を見ない」）,MO6W_p1J-F4,https://youtu.be/MO6W_p1J-F4,青春豬頭少年不會夢到兔女郎學姊,ED,不可思議のカルテ,不可思議的病歷,4,
32,(中日字幕) 流汗吧!健身少女 - お願いマッスル / ダンベル何キロ持てる？ - お願いマッスル,xMG2wEKGNdA,https://youtu.be/xMG2wEKGNdA,流汗吧！健身少女,OP,お願いマッスル,拜託了肌肉,4,
33,美波「カワキヲアメク」MV,0YF8vecQWYs,https://youtu.be/0YF8vecQWYs,家有女友,OP,カワキヲアメク,聲嘶力竭,4,
34,【MAD】東京リベンジャーズ OP 「Cry Baby」,7qKUG3Q2JuM,https://youtu.be/7qKUG3Q2JuM,東京復仇者,OP1,Cry Baby,,4,
35,【Ado】新時代 (ウタ from ONE PIECE FILM RED),1FliVTcX8bQ,https://youtu.be/1FliVTcX8bQ,航海王劇場版：紅髮歌姬,MV,新時代,,2,
36,灌篮高手主题曲《好想大声说爱你》,EGl2qCpBGj0,https://youtu.be/EGl2qCpBGj0,灌籃高手,OP1,君が好きだと叫びたい,好想大聲說喜歡你,2,00:10
37,Creepy Nuts｢Bling-Bang-Bang-Born｣ × TV Anime｢マッシュル-MASHLE-｣ Collaboration Music Video #BBBBダンス,mLW35YMzELE,https://youtu.be/mLW35YMzELE,肌肉魔法使-MASHLE,OP2,Bling-Bang-Bang-Born,,1,
38,YOASOBI「祝福」Official Music Video (『機動戦士ガンダム 水星の魔女』オープニングテーマ),3eytpBOkOFA,https://youtu.be/3eytpBOkOFA,機動戰士鋼彈 水星的魔女,OP1,しゅくふく,祝福,3,
39,TVアニメ『異世界でチート能力を手にした俺は、現実世界をも無双する ～レベルアップは人生を変えた～』ノンテロップオープニング映像,Wbau6pUuLa4,https://youtu.be/Wbau6pUuLa4,異世升級，現實無敵(在異世界獲得超強能力的我，在現實世界照樣無敵～等級提升改變人生命運～),OP,逆転劇,,5,
40,『無職転生 ～異世界行ったら本気出す～』OPムービー／Mushoku Tensei: Jobless Reincarnation - Opening／大原ゆい子「旅人の唄」 (非公式),xZ-h-YSBaqc,https://youtu.be/xZ-h-YSBaqc,無職轉生～到了異世界就拿出真本事～,OP1,旅人の唄,旅人之歌,3,
41,「残酷な天使のテーゼ」MUSIC VIDEO（HDver.）/Zankoku na Tenshi no Te-ze“The Cruel Angel's Thesis”,o6wtDPVkKqI,https://youtu.be/o6wtDPVkKqI,新世紀福音戰士,OP1,残酷な天使のテーゼ,殘酷天使的行動綱領,1,
42,TVアニメ『君のことが大大大大大好きな100人の彼女』ノンクレジットOP ｜ OPテーマ「大大大大大好きな君へ♡」,cBhaKIqvUrQ,https://youtu.be/cBhaKIqvUrQ,超超超超超喜歡你的100個女朋友,OP1,大大大大大好きな君へ♡,致我深愛的你♡,3,
43,TVアニメ「モブサイコ100」OP映像,pUdaXUUDUew,https://youtu.be/pUdaXUUDUew,路人超能100,OP1,99,,4,
44,TVアニメ『ダンダダン』×Creepy Nuts｢オトノケ｣  Collaboration Music Video,oHC-sU1xBXo,https://youtu.be/oHC-sU1xBXo,膽大黨,OP1,オトノケ(Otonoke),,1,
45,ZAQ「カーストルーム」Lyric Video (TVアニメ『ようこそ実力至上主義の教室へ』OPテーマ),IiyS-0QdQcE,https://youtu.be/IiyS-0QdQcE,歡迎來到實力至上主義的教室,OP1,カーストルーム(Caste Room),階級教室,3,
46,ヒグチアイ / 悪魔の子 (アニメスペシャルVer.) | Ai Higuchi “Akuma no Ko” Anime Special Ver.,WPl10ZrhCtk,https://youtu.be/WPl10ZrhCtk,進擊的巨人,ED4,悪魔の子,惡魔之子,2,00:04
47,「only my railgun」歌ってみた【＊なみりん】,q_sQUK418mM,https://youtu.be/q_sQUK418mM,科學超電磁砲,OP1,only my railgun,,3,
48,「Creditless」Guilty Crown OP / Opening 1「UHD 60FPS」,W10RXr9c44Y,https://youtu.be/W10RXr9c44Y,Guilty Crown 罪惡王冠,OP1,My Dearest,,4,
49,『Lyrics MAD』 Violet Evergarden OP Full   Sincerely  ／ TRUE HD,rh-xfHTJp6M,https://youtu.be/rh-xfHTJp6M,紫羅蘭永恆花園,OP1,Sincerely,,5,
50,Fairy Tail Opening 15 | Masayume Chasing,aqRuzjIBkxY,https://youtu.be/aqRuzjIBkxY,魔導少年,OP15,MASAYUME CHASING,追逐夢想,4,
51,【Onボーカル カラオケ歌詞full】チチをもげ！ ／ 金色のガッシュベル!! 挿入歌 ／ パルコ・フォルゴレ＆キャンチョメ,t-q8_x5XfqA,https://youtu.be/t-q8_x5XfqA,魔法少年賈修,IN,チチをもげ!,甩甩奶奶,3,00:16
52,【中日EnRom】GIRLS BAND CRY -「雑踏、僕らの街 (Wrong World)」OP FULL (lyrics) by TOGENASHITOGEARI,IJZG5vldl30,https://youtu.be/IJZG5vldl30,Girls Band Cry 少女樂團 吶喊吧,OP,雑踏、僕らの街,熙熙攘攘、我們的城市,2,
53,Platinum Disco - Nisemonogatari OP 3 | 白金ディスコ - 偽物語  ( Lyrics Romaji ),71bXPAIVwAE,https://youtu.be/71bXPAIVwAE,偽物語,OP3,白金ディスコ,白金Disco,5,00:42
54,ツナ覚醒,5HaNANJk83U,https://youtu.be/5HaNANJk83U,家庭教師HITMAN REBORN!,IN,覺醒,,5,
55,【輝夜姬想讓人告白～天才們的戀愛頭腦戰～ 第一季 OP】鈴木雅之「Love Dramatic feat. 伊原六花」中日歌詞｜Muse木棉花,S-1Pr9vUrsM,https://youtu.be/S-1Pr9vUrsM,輝夜姬想讓人告白,OP1,Love Dramatic,愛情戲劇,1,
56,TVアニメ「オーバーロードⅣ」ノンクレジットOP映像【OxT「HOLLOW HUNGER」】,xa-30y7GImM,https://youtu.be/xa-30y7GImM,OVERLORD,OP4,HOLLOW HUNGER,,2,
57,亜咲花「I believe what you said」Music Video（TVアニメ「ひぐらしのなく頃に 業」オープニングテーマ）,KFHxOryOgls,https://youtu.be/KFHxOryOgls,暮蟬悲鳴時業,OP,I believe what you said,,5,00:18
58,Code Geass Full Opening 1: Colors By Flow,OLVyJl87_CI,https://youtu.be/OLVyJl87_CI,Code Geass 反叛的魯路修,OP1,COLORS,,3,
59,動漫主題歌- 【潮與虎】OP-混ぜるな危険|,nS9L5l3Xfls,https://youtu.be/nS9L5l3Xfls,潮與虎,OP1,混ぜるな危険,混合的危險,5,
60,【中日字幕/完整版】來自深淵OP－Deep in Abyss（1080P）,PbAcutgvoc8,https://youtu.be/PbAcutgvoc8,來自深淵,OP1,Deep in Abyss,深淵深處,3,
61,"アニメ『血界戦線』ノンクレジットOP／♪：「Hello,world!」BUMP OF CHICKEN",0nkJ8wPseSM,https://youtu.be/0nkJ8wPseSM,血界戦線,OP1,"Hello,world!",,3,
62,TVアニメ『暗殺教室』第２期ノンクレジットOP映像②／3年E組うた担「バイバイ YESTERDAY」,Y9JPLPJLrlk,https://youtu.be/Y9JPLPJLrlk,暗殺教室,OP4,Bye Bye YESTERDAY,,2,
63,中川翔子『空色デイズ』 ～ 天元突破グレンラガン special music video ～,vVGa8I0Atcg,https://youtu.be/vVGa8I0Atcg,天元突破 紅蓮螺巖,OP,空色デイズ,天藍色的日子,3,00:48
64,未來日記OP 空想神话,qsm0eEQYvH0,https://youtu.be/qsm0eEQYvH0,未來日記,OP1,空想メソロギヰ,空想神話,2,
65,四月是你的謊言 OP 光るなら 歌詞,5es1og-IIIM,https://youtu.be/5es1og-IIIM,四月是你的謊言,OP1,光るなら,若能綻放光芒,3,
66,シャッターチャンス／めいちゃん,eQ6RE6jKtf0,https://youtu.be/eQ6RE6jKtf0,2.5次元的誘惑,OP1,シャッターチャンス,快門機會,2,
67,TVアニメ『ゾン100』OP主題歌「ソングオブザデッド」アニメMV フル 歌詞付き KANA-BOON “Song of the Dead” Zom 100 Opening【MAD / AMV】,NJUb9bh4PwE,https://youtu.be/NJUb9bh4PwE,殭屍100～在成為殭屍前要做的100件事～,OP1,ソングオブザデッド(Song of the Dead),亡靈之歌,1,00:38
68,派對咖孔明 OP  「チキチキバンバン」完整版 By QUEENDOM,V6Lwltc-Kxo,https://youtu.be/V6Lwltc-Kxo,派對咖孔明,OP1,チキチキバンバン,,1,
69,【數碼寶貝OP】Butterfly,RMFVuCURZIs,https://youtu.be/RMFVuCURZIs,數碼寶貝,OP1,Butter fly,,3,00:47
70,Satoshi（CV:Rica Matsumoto） - Mezase Pokémon Master -with my friends- / THE FIRST TAKE,hMKf5mE3sdo,https://youtu.be/hMKf5mE3sdo,寶可夢/神奇寶貝,OP1,めざせポケモンマスター,目標是神奇寶貝大師,1,00:29
71,🏀 Kins 7 🏀 七龍珠 七龍珠Z 主題曲 原始版,3V9gFLyLQxA,https://youtu.be/3V9gFLyLQxA,七龍珠Z,OP1,CHA-LA HEAD-CHA-LA,,1,
72,【AMV】 あたらよ— 「僕は…」 《中日歌詞字幕》   我內心的糟糕念頭 第二季 OP,rQKw_285rME,https://youtu.be/rQKw_285rME,我內心的糟糕念頭,OP2,僕は...,我是...,2,
73,SawanoHiroyuki[nZk]:mizuki「Avid」×TVアニメ「８６―エイティシックス―」Collaboration Movie,YGOX7Tj0dMY,https://youtu.be/YGOX7Tj0dMY,86 不存在的戰區,ED,Avid,,2,01:00
74,【中日歌詞】SPY x FAMILY ED | 間諜家家酒 ED |「喜劇」 By 星野源 Full Ending《純粹中翻》,Aj0nNXEEwng,https://youtu.be/Aj0nNXEEwng,SPY×FAMILY間諜家家酒,ED1,喜劇,,1,00:10
75,「OxT - HIGHEST」我想成為影之強者 OP Full【中日翻譯】,GWY0dwzbKew,https://youtu.be/GWY0dwzbKew,我想成為影之強者！,OP1,HIGHEST,,2,
76,TVアニメ「ダンジョン飯」ノンクレジットオープニング｜「Sleep Walking Orchestra」BUMP OF CHICKEN,60_2zt9l3Yk,https://youtu.be/60_2zt9l3Yk,迷宮飯,OP1,Sleep Walking Orchestra,,2,
77,鹿乃子乃子乃子虎視眈眈 OP『鹿色DAYS (シカ色デイズ)』完整版中日字幕,o65aVSKNegg,https://youtu.be/o65aVSKNegg,鹿乃子乃子乃子虎視眈眈,OP,鹿色Days,,1,
78,TSUYOGARU GIRL feat. Mossa(NECRY TALKIE) / BotchiBoromaru - MV｜「Too Many Losing Heroines!」OP Theme,AuRNbKRVV-Y,https://youtu.be/AuRNbKRVV-Y,敗北女角太多了,OP1,つよがるガール,堅強的女孩,1,
79,Number One - Bankai,7JEjQG4-tpU,https://youtu.be/7JEjQG4-tpU,BLEACH 死神,IN,Number One - Bankai,,4,
80,[MAD]藥師少女的獨語OP「花になって(Full)」中日歌詞#薬屋のひとりごと#Kusuriya no Hitorigoto#緑黄色社会#Lyrics#日語歌詞解說#文法解說#歌詞考察#四葉草,GdEJG-1QnKE,https://youtu.be/GdEJG-1QnKE,藥師少女的獨語,OP1,花になって,,1,
81,加速世界OP1 - Chase the World,f9iyz6BEODs,https://youtu.be/f9iyz6BEODs,加速世界,OP1,Chase the world,,4,
82,TVアニメ『リコリス・リコイル』ノンテロップEDムービー｜さユり「花の塔」,WIKKyrGGaDk,https://youtu.be/WIKKyrGGaDk,Lycoris Recoil 莉可麗絲,ED,花之塔,,1,
83,【高音質】地獄先生ぬ～べ～ 靈異教師神眉 | OP (バリバリ最強NO.1),5eIc9hBfmVk,https://youtu.be/5eIc9hBfmVk,靈異教師神眉,OP,バリバリ最強No.1,嶄新最強No.1,4,
84,[HD] ぐらんぶる GRAND BLUE OP [湘南乃風 - Grand Blue],0PpTUtHtwt4,https://youtu.be/0PpTUtHtwt4,GRANDBLUE 碧藍之海,OP1,Grand Blue,,2,
85,BURNOUT SYNDROMES 『Good Morning World!』Music Video（TVアニメ「Ｄｒ．ＳＴＯＮＥ」オープニングテーマ）,yQEUGxngQN4,https://youtu.be/yQEUGxngQN4,Dr.STONE 新石紀,OP1,Good Morning World!,,1,
86,一首好聽的日文歌 - THE FIRST TAKE  | 徹夜之歌 OP | よふかしのうた OP |「堕天」--  Creepy Nuts   【中日羅歌詞Lyrics】,nV7eeEqUjHs,https://youtu.be/nV7eeEqUjHs,徹夜之歌,OP1,墮天,,3,
87,戀上換裝娃娃 OP 「燦々デイズ」完整版  By スピラ・スピカ,VLGsKYtkyq4,https://youtu.be/VLGsKYtkyq4,戀上換裝娃娃,OP1,燦々デイズ,璀璨時光,2,
88,【Official Music Video】春日影(MyGO!!!!! ver.) / MyGO!!!!!【オリジナル楽曲】,ZsvJUh03MwI,https://youtu.be/ZsvJUh03MwI,BanG Dream! It's MyGO!!!!!,IN,春日影,,1,
89,結束バンド - ギターと孤独と蒼い惑星 / THE FIRST TAKE,B3akM3m_tz0,https://youtu.be/B3akM3m_tz0,孤獨搖滾,IN,ギターと孤独と蒼い惑星,吉他與孤獨與藍色星球,2,00:46
90,Death Note Opening 1 completo full HD,RvIx-SJvlNY,https://youtu.be/RvIx-SJvlNY,死亡筆記本,OP1,the WORLD,,3,
91,アニメ『チ。 ―地球の運動について―』ノンクレジットオープニング映像「怪獣」サカナクション,eZAocot63s8,https://youtu.be/eZAocot63s8,地。-關於地球的運動-,OP,怪獣,,1,
92,Blend S Opening in 4K 120FPS,ugZ2EsnnGxk,https://youtu.be/ugZ2EsnnGxk,調教咖啡廳,OP,ぼなぺてぃーと♡S,,3,
93,【影宅 ED / Shadows House ED】ReoNa《ないない / Nainai》【中日字幕 / Not English lyrics yet】,7MMyqUEGhnI,https://youtu.be/7MMyqUEGhnI,SHADOWS HOUSE 影宅,ED1,ないない,,3,
94,【MAD】遊戯王DM「OVERLAP」Yugioh~Overlap The Overlapping Eyes,SNrFofI-E1M,https://youtu.be/SNrFofI-E1M,遊戲王—怪獸之決鬥(遊戲王DM),OP5,OVERLAP,,5,
95,オーイシマサヨシ - 死んだ！ [Official Video],QfKry0xnzks,https://youtu.be/QfKry0xnzks,勇者死了！,OP,死んだ！,,3,
96,FZMZ - BROKEN GAMES (Anime Music Video) / TVアニメ「シャングリラ・フロンティア」OPテーマ,X_YHXdCcmVc,https://youtu.be/X_YHXdCcmVc,香格里拉·開拓異境～糞作獵手挑戰神作～,OP1,BROKEN GAMES,,1,
97,"Solo Leveling Opening | ""LEveL"" by Hiroyuki Sawano [nZk] and TOMORROW X TOGETHER",XqD0oCHLIF8,https://youtu.be/XqD0oCHLIF8,我獨自升級,OP1,LEveL,,1,
98,「Creditless」Konosuba OP / Opening 2「UHD 60FPS」,A1DHMQN9dpE,https://youtu.be/A1DHMQN9dpE,為美好的世界獻上祝福,OP2,TOMORROW,,3,
99,Black Clover - 『Haruka Mirai』【MAD】,75rCnz7_whs,https://youtu.be/75rCnz7_whs,黑色五葉草,OP1,ハルカミライ,遙遠未來,3,00:33
100,"Vicke Blanka - Black Catcher (Anime music video, TV anime「Black Clover」OP10 Theme)",akHMQOgGrd8,https://youtu.be/akHMQOgGrd8,黑色五葉草,OP10,Black Catcher,,3,00:08
101,聖鬥士星矢 [無敵清晰] 片頭主題曲 - 天馬座的幻想  (ペガサス幻想),KnoiNgHUWog,https://youtu.be/KnoiNgHUWog,聖鬥士星矢-銀河擂台賽篇,OP1,ペガサス幻想,天馬座的幻想,5,
102,Re:Zero Season 2 - Ending Full『Memento』by nonoc,CXcEbr1ixEc,https://youtu.be/CXcEbr1ixEc,Re:Zero,ED2,Memento,,2,
103,Ado「ゲゲゲの鬼太郎」｜完全新作オープニング映像『ゲゲゲの鬼太郎 私の愛した歴代ゲゲゲ』,Qgzr5ziksHs,https://youtu.be/Qgzr5ziksHs,鬼太郎,OP,ゲゲゲの鬼太郎,,5,00:13